,City,Country,Lat,Lng,Max Temp (F),Cloudiness,Date,Humidity,Wind Speed
0,Hermanus,ZA,-34.4187,19.2345,59.81,22,1666373509,73,10.65
1,Luena,AO,-11.7833,19.9167,74.98,89,1666373529,40,3.33
2,Rikitea,PF,-23.1203,-134.9692,71.26,3,1666373530,72,22.95
3,Savonlinna,FI,61.8699,28.88,30.25,20,1666373530,93,2.3
4,Hobart,AU,-42.8794,147.3294,62.46,100,1666373402,94,5.75
5,Naugachhia,IN,25.4,87.1,73.56,0,1666373530,65,3.33
6,Avarua,CK,-21.2078,-159.775,77.05,75,1666373531,88,16.11
7,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,40,1666373531,73,16.11
8,Bluff,NZ,-46.6,168.3333,41.61,9,1666373531,83,8.46
9,Okhotsk,RU,59.3833,143.3,24.21,96,1666373532,62,14.58
10,Kapaa,US,22.0752,-159.319,77.32,75,1666373532,86,13.8
11,Porto Nacional,BR,-10.7081,-48.4172,102.63,100,1666373532,19,3.76
12,São João da Barra,BR,-21.6403,-41.0511,76.93,64,1666373533,79,25.12
13,Areosa,PT,41.7178,-8.8571,62.17,48,1666373533,90,15.28
14,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,75,1666373534,79,11.5
15,Qaanaaq,GL,77.484,-69.3632,-1.44,0,1666373534,57,9.55
16,Bengkulu,ID,-3.8004,102.2655,75.72,100,1666373534,91,3.71
17,Namatanai,PG,-3.6667,152.4333,78.73,71,1666373535,82,2.39
18,Kaihua,CN,23.3687,104.28,60.31,62,1666373535,96,2.39
19,Ponta Delgada,PT,37.7333,-25.6667,68.72,20,1666373536,60,23.02
20,Parabel',RU,58.6978,81.4825,39.2,95,1666373536,92,10.85
21,Kavieng,PG,-2.5744,150.7967,81.43,84,1666373537,73,5.95
22,Yellowknife,CA,62.456,-114.3525,30.72,75,1666373291,80,10.36
23,Arraial do Cabo,BR,-22.9661,-42.0278,74.07,99,1666373537,87,15.77
24,Lompoc,US,34.6391,-120.4579,63.61,100,1666373537,96,0.0
25,Ushuaia,AR,-54.8,-68.3,49.62,75,1666373293,49,19.57
26,San Andrés,CO,12.5847,-81.7006,87.82,40,1666373538,70,11.5
27,Codrington,AU,-38.2667,141.9667,59.13,100,1666373538,99,3.47
28,Saskylakh,RU,71.9167,114.0833,5.61,71,1666373539,98,4.23
29,Cape Town,ZA,-33.9258,18.4232,64.35,0,1666373525,72,26.46
30,Tura,IN,25.5198,90.2201,68.47,0,1666373540,76,4.9
31,Hithadhoo,MV,-0.6,73.0833,80.82,100,1666373541,79,8.28
32,Sekichō-furumaya,JP,34.85,136.4,59.92,100,1666373541,79,1.45
33,Ribeira Grande,PT,38.5167,-28.7,68.4,75,1666373541,64,20.71
34,Aklavik,CA,68.2191,-135.0107,23.0,100,1666373542,93,2.3
35,Jamestown,US,42.097,-79.2353,60.39,0,1666373101,37,14.97
36,Polovinnoye,RU,54.7914,65.9864,39.18,84,1666373542,90,5.46
37,Nyrob,RU,60.733,56.7202,28.36,54,1666373542,90,8.03
38,Khatanga,RU,71.9667,102.5,3.09,65,1666373543,96,2.35
39,Khon Kaen,TH,16.5,102.0833,71.91,37,1666373543,91,2.64
40,Poum,NC,-20.2333,164.0167,76.1,100,1666373543,74,20.22
41,George Town,MY,5.4112,100.3354,79.95,40,1666373299,93,5.75
42,Taltal,CL,-25.4,-70.4833,62.71,17,1666373544,63,4.97
43,City of San Pedro,PH,14.35,121.0167,81.63,40,1666373544,85,4.61
44,Ponta do Sol,PT,32.6667,-17.1,76.01,98,1666373545,90,4.36
45,Sandwick,GB,60.0,-1.25,51.62,100,1666373545,100,17.27
46,Atuona,PF,-9.8,-139.0333,76.59,97,1666373545,69,16.8
47,Mataura,NZ,-46.1927,168.8643,32.95,5,1666373546,96,2.24
48,Karanganyar,ID,-6.7072,111.0834,77.13,100,1666373546,91,5.21
49,Kericho,KE,-0.3677,35.2831,57.56,100,1666373546,72,4.7
50,Saint-Augustin,CA,51.226,-58.6502,53.31,69,1666373546,53,22.53
51,Busselton,AU,-33.65,115.3333,53.62,69,1666373547,80,6.53
52,Cabo San Lucas,MX,22.8909,-109.9124,90.61,24,1666373466,71,3.0
53,Kosa,RU,59.9445,54.9977,28.51,59,1666373547,84,9.19
54,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,1666373547,88,5.99
55,Touros,BR,-5.1989,-35.4608,83.37,70,1666373548,58,17.92
56,Saldanha,ZA,-33.0117,17.9442,62.65,28,1666373548,75,29.42
